Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,company
2016-05-09 00:00:00-04:00,21.19092047793112,21.36637142020525,21.097497305894343,21.143070220947266,131745600,0.0,0.0,AAPL
2016-05-10 00:00:00-04:00,21.26611077467741,21.32079652477359,20.988122125843148,21.286617279052734,134747200,0.0,0.0,AAPL
2016-05-11 00:00:00-04:00,21.300297116283584,21.320803627490353,21.06787955869815,21.079273223876953,114876400,0.0,0.0,AAPL
2016-05-12 00:00:00-04:00,21.127118511980022,21.140789516231006,20.386575648952064,20.58481216430664,305258800,0.0,0.0,AAPL
2016-05-13 00:00:00-04:00,20.507341691111154,20.887866391934395,20.507341691111154,20.62582778930664,177571200,0.0,0.0,AAPL
2016-05-16 00:00:00-04:00,21.051929425106646,21.507648216408324,20.883313959085207,21.39143943786621,245039200,0.0,0.0,AAPL
2016-05-17 00:00:00-04:00,21.54410243839732,21.578279950472332,21.193198827519755,21.302570343017578,187667600,0.0,0.0,AAPL
2016-05-18 00:00:00-04:00,21.455238641453214,21.694489931630287,21.39371563938697,21.5463809967041,168249600,0.0,0.0,AAPL
2016-05-19 00:00:00-04:00,21.56461224798511,21.56461224798511,21.32080277341668,21.464353561401367,121768400,0.0,0.0,AAPL
2016-05-20 00:00:00-04:00,21.56461654835507,21.744625708605128,21.53727279062599,21.696775436401367,128104000,0.0,0.0,AAPL
2016-05-23 00:00:00-04:00,21.844878177138224,22.145652472550694,21.7993052606036,21.97247886657715,152074400,0.0,0.0,AAPL
2016-05-24 00:00:00-04:00,22.15249341929196,22.35073000503897,22.065905725812176,22.307437896728516,140560800,0.0,0.0,AAPL
2016-05-25 00:00:00-04:00,22.482879140932408,22.726688548715885,22.355278475454305,22.6993465423584,152675200,0.0,0.0,AAPL
2016-05-26 00:00:00-04:00,22.713023987281645,22.95227704133742,22.476050013878265,22.879362106323242,225324800,0.0,0.0,AAPL
2016-05-27 00:00:00-04:00,22.658342863324513,22.893037804164504,22.6150490142039,22.865694046020508,145364800,0.0,0.0,AAPL
2016-05-31 00:00:00-04:00,22.694793931414328,22.877082131035774,22.51706389291943,22.754037857055664,169228800,0.0,0.0,AAPL
2016-06-01 00:00:00-04:00,22.562640246194242,22.68112812464078,22.40541841986679,22.435039520263672,116693200,0.0,0.0,AAPL
