Date,Open,Close,High,Low,Volume,company
2016-05-09 00:00:00-04:00,21.19092047793112,21.143070220947266,21.36637142020525,21.097497305894343,131745600,AAPL
2016-05-10 00:00:00-04:00,21.26611077467741,21.28661727905273,21.32079652477359,20.988122125843148,134747200,AAPL
2016-05-11 00:00:00-04:00,21.300297116283584,21.079273223876957,21.320803627490356,21.06787955869815,114876400,AAPL
2016-05-12 00:00:00-04:00,21.127118511980026,20.58481216430664,21.14078951623101,20.386575648952064,305258800,AAPL
2016-05-13 00:00:00-04:00,20.507341691111154,20.62582778930664,20.887866391934395,20.507341691111154,177571200,AAPL
2016-05-16 00:00:00-04:00,21.05192942510665,21.39143943786621,21.507648216408324,20.883313959085207,245039200,AAPL
2016-05-17 00:00:00-04:00,21.54410243839732,21.302570343017575,21.57827995047233,21.193198827519755,187667600,AAPL
2016-05-18 00:00:00-04:00,21.455238641453214,21.5463809967041,21.694489931630287,21.39371563938697,168249600,AAPL
2016-05-19 00:00:00-04:00,21.56461224798511,21.464353561401367,21.56461224798511,21.32080277341668,121768400,AAPL
2016-05-20 00:00:00-04:00,21.56461654835507,21.696775436401367,21.744625708605128,21.53727279062599,128104000,AAPL
2016-05-23 00:00:00-04:00,21.844878177138224,21.97247886657715,22.14565247255069,21.7993052606036,152074400,AAPL
2016-05-24 00:00:00-04:00,22.15249341929196,22.30743789672852,22.35073000503897,22.065905725812176,140560800,AAPL
2016-05-25 00:00:00-04:00,22.482879140932408,22.6993465423584,22.726688548715885,22.355278475454305,152675200,AAPL
2016-05-26 00:00:00-04:00,22.713023987281645,22.87936210632324,22.95227704133742,22.476050013878265,225324800,AAPL
2016-05-27 00:00:00-04:00,22.658342863324517,22.865694046020508,22.893037804164504,22.6150490142039,145364800,AAPL
2016-05-31 00:00:00-04:00,22.694793931414328,22.754037857055664,22.87708213103577,22.51706389291943,169228800,AAPL
2016-06-01 00:00:00-04:00,22.56264024619424,22.435039520263672,22.68112812464078,22.40541841986679,116693200,AAPL
2016-06-02 00:00:00-04:00,22.239076611136976,22.266420364379883,22.29376237919357,22.01805271977049,160766400,AAPL
2016-06-03 00:00:00-04:00,22.28236773864949,22.311988830566406,22.39173926144194,22.20489464977825,114019600,AAPL
2016-06-06 00:00:00-04:00,22.327940276709967,22.47377014160156,23.21659221106314,22.227683331115195,93170000,AAPL
2016-06-07 00:00:00-04:00,22.615040223234715,22.564910888671875,22.75631364441828,22.54896080389541,89638000,AAPL
2016-06-08 00:00:00-04:00,22.56263241058802,22.544404983520508,22.68567667004546,22.485161064871612,83392400,AAPL
2016-06-09 00:00:00-04:00,22.44415144520177,22.70619010925293,22.783661472688777,22.43503686036885,106405600,AAPL
