Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,company
2016-05-09 00:00:00-04:00,44.425600687564334,44.513588252091665,43.994453565755336,44.05604553222656,17951600,0.0,0.0,MSFT
2016-05-10 00:00:00-04:00,44.28483763185666,44.962349554660335,44.161650289380475,44.89196014404297,22891000,0.0,0.0,MSFT
2016-05-11 00:00:00-04:00,44.9887315161576,45.560657428607925,44.874344991063296,44.918338775634766,24039100,0.0,0.0,MSFT
2016-05-12 00:00:00-04:00,45.05031852201963,45.58705136157958,44.80394731384656,45.323081970214844,24102800,0.0,0.0,MSFT
2016-05-13 00:00:00-04:00,45.26149757630018,45.6662491443739,44.909543923140994,44.944740295410156,22592300,0.0,0.0,MSFT
2016-05-16 00:00:00-04:00,44.69836063549559,45.719031743673874,44.65436685669251,45.60464859008789,20032000,0.0,0.0,MSFT
2016-05-17 00:00:00-04:00,45.82615849258007,45.83501743798661,44.62113911808267,44.75404357910156,27803500,0.36,0.0,MSFT
2016-05-18 00:00:00-04:00,44.72747478516825,45.31226335095737,44.567986687226885,45.01987075805664,24907500,0.0,0.0,MSFT
2016-05-19 00:00:00-04:00,44.71861266899674,44.85151715453926,44.14268309168355,44.5857048034668,23842400,0.0,0.0,MSFT
2016-05-20 00:00:00-04:00,44.72747118632324,45.3831448006576,44.656589470712376,44.85151672363281,23905800,0.0,0.0,MSFT
2016-05-23 00:00:00-04:00,44.83378736607788,44.90467244889536,44.284441494189494,44.32874298095703,26118700,0.0,0.0,MSFT
2016-05-24 00:00:00-04:00,44.92240511982776,45.81730754758918,44.65659275177895,45.71098327636719,34757900,0.0,0.0,MSFT
2016-05-25 00:00:00-04:00,46.003366986643314,46.508414782424545,45.88818379004953,46.18057632446289,24040200,0.0,0.0,MSFT
2016-05-26 00:00:00-04:00,46.012230111315276,46.05653160154252,45.50718568675329,45.97678756713867,24335200,0.0,0.0,MSFT
2016-05-27 00:00:00-04:00,46.0033618207032,46.35778045654297,45.870457367253245,46.35778045654297,17721400,0.0,0.0,MSFT
2016-05-31 00:00:00-04:00,46.30462307749834,46.960296630859375,46.145138387208064,46.960296630859375,37653100,0.0,0.0,MSFT
2016-06-01 00:00:00-04:00,46.464103562150896,46.91598748082555,46.464103562150896,46.8273811340332,25324800,0.0,0.0,MSFT
2016-06-02 00:00:00-04:00,46.64131665208209,46.72992300604849,45.93248272028492,46.499549865722656,22840800,0.0,0.0,MSFT
2016-06-03 00:00:00-04:00,46.41094542093371,46.44638458141036,45.719829401845175,45.888179779052734,23368300,0.0,0.0,MSFT
2016-06-06 00:00:00-04:00,46.06538473693403,46.38435743092313,45.97677839417063,46.189430236816406,18243300,0.0,0.0,MSFT
2016-06-07 00:00:00-04:00,46.286905963511074,46.72106531102064,46.16285705566406,46.16285705566406,20866800,0.0,0.0,MSFT
2016-06-08 00:00:00-04:00,46.09197797570673,46.464114580522455,45.95907011399407,46.10969924926758,21149400,0.0,0.0,MSFT
2016-06-09 00:00:00-04:00,46.07424618897916,46.07424618897916,45.622365646242876,45.737548828125,20305700,0.0,0.0,MSFT
2016-06-10 00:00:00-04:00,45.23251501313079,46.11855841546434,45.22365606630188,45.6135139465332,25833200,0.0,0.0,MSFT
2016-06-13 00:00:00-04:00,43.930018889718916,44.94010749141307,43.46927606824705,44.42620086669922,83217800,0.0,0.0,MSFT
2016-06-14 00:00:00-04:00,44.213565428954546,44.390771398619925,43.92116949502969,44.15154266357422,42577100,0.0,0.0,MSFT
2016-06-15 00:00:00-04:00,44.107232737703946,44.408487583601726,44.027488708496094,44.027488708496094,33757600,0.0,0.0,MSFT
2016-06-16 00:00:00-04:00,43.87686737857142,44.71860924245908,43.86800505222187,44.64772415161133,31188600,0.0,0.0,MSFT
2016-06-17 00:00:00-04:00,44.66543413493514,44.683155403167945,44.14266855201937,44.41734313964844,45710500,0.0,0.0,MSFT
2016-06-20 00:00:00-04:00,44.86921814184794,45.03756847940113,44.32873135704518,44.364173889160156,35607900,0.0,0.0,MSFT
2016-06-21 00:00:00-04:00,44.47937121143584,45.569203988279455,44.44392867072872,45.35655212402344,34097800,0.0,0.0,MSFT
2016-06-22 00:00:00-04:00,45.25908820030797,45.595782182136745,45.143901638110464,45.179344177246094,28816800,0.0,0.0,MSFT
2016-06-23 00:00:00-04:00,45.43629485102281,46.12741085509707,45.32111166699928,45.994503021240234,29028800,0.0,0.0,MSFT
