Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,company
2016-05-09 00:00:00-04:00,36.03715168342154,36.41354215536826,35.87846339621092,36.157657623291016,38074000,0.0,0.0,GOOGL
2016-05-10 00:00:00-04:00,36.44676932621939,36.69670253493839,36.28064281605223,36.665958404541016,32634000,0.0,0.0,GOOGL
2016-05-11 00:00:00-04:00,36.72248758116569,36.73637275837127,36.0966595656053,36.22807312011719,29834000,0.0,0.0,GOOGL
2016-05-12 00:00:00-04:00,36.299975380588464,36.467096911273465,35.916646139305676,36.10508728027344,27094000,0.0,0.0,GOOGL
2016-05-13 00:00:00-04:00,36.033190453960316,36.26477405754417,35.87896281114881,35.94442367553711,25244000,0.0,0.0,GOOGL
2016-05-16 00:00:00-04:00,35.91913033901647,36.33370318908895,35.70490132454565,36.21567916870117,22538000,0.0,0.0,GOOGL
2016-05-17 00:00:00-04:00,36.25336873687271,36.49090365851421,35.60572163675657,35.71432113647461,33404000,0.0,0.0,GOOGL
2016-05-18 00:00:00-04:00,35.63051382153782,35.98111646459101,35.45794035111021,35.79317092895508,32536000,0.0,0.0,GOOGL
2016-05-19 00:00:00-04:00,35.62059685429264,35.72969576269237,35.224369867887525,35.472320556640625,30598000,0.0,0.0,GOOGL
2016-05-20 00:00:00-04:00,35.5293505534508,36.086740169008664,35.45744273779759,35.789695739746094,34798000,0.0,0.0,GOOGL
2016-05-23 00:00:00-04:00,35.703909605619906,35.878465597231845,35.55315515600746,35.56852722167969,24816000,0.0,0.0,GOOGL
2016-05-24 00:00:00-04:00,35.697464304438995,36.40908163708497,35.687544157240886,36.3510627746582,37884000,0.0,0.0,GOOGL
2016-05-25 00:00:00-04:00,36.448753615719134,36.691248618127936,36.3297383367418,36.602481842041016,32216000,0.0,0.0,GOOGL
2016-05-26 00:00:00-04:00,36.49834412863441,36.75125491478101,36.349575971169294,36.544464111328125,27202000,0.0,0.0,GOOGL
2016-05-27 00:00:00-04:00,36.57322724917385,37.088965206709794,36.5484306635179,37.07359313964844,34802000,0.0,0.0,GOOGL
2016-05-31 00:00:00-04:00,37.131113711060095,37.365179237167304,36.972921040165026,37.13557815551758,42484000,0.0,0.0,GOOGL
2016-06-01 00:00:00-04:00,37.116737084137284,37.2605489632805,36.911928779865896,37.116241455078125,20788000,0.0,0.0,GOOGL
2016-06-02 00:00:00-04:00,36.999200362313566,37.058709886887954,36.547928313668756,36.908451080322266,33916000,0.0,0.0,GOOGL
2016-06-03 00:00:00-04:00,36.770595931210124,36.770595931210124,36.39470104545775,36.49140167236328,24608000,0.0,0.0,GOOGL
2016-06-06 00:00:00-04:00,36.622315129272636,36.622315129272636,36.116001771606534,36.203773498535156,29992000,0.0,0.0,GOOGL
2016-06-07 00:00:00-04:00,36.36295993915317,36.53354709751744,36.24047148874412,36.254852294921875,24314000,0.0,0.0,GOOGL
2016-06-08 00:00:00-04:00,36.67190753588196,36.88564092123862,36.4869395496768,36.842002868652344,32314000,0.0,0.0,GOOGL
2016-06-09 00:00:00-04:00,36.55140896156725,36.89159587710238,36.523142972066466,36.82167434692383,19180000,0.0,0.0,GOOGL
2016-06-10 00:00:00-04:00,36.49585896686042,36.67884440854448,36.22608927910277,36.35898971557617,29050000,0.0,0.0,GOOGL
2016-06-13 00:00:00-04:00,36.19187672755759,36.64711384493055,36.19187672755759,36.29403305053711,23354000,0.0,0.0,GOOGL
2016-06-14 00:00:00-04:00,36.16658523294777,36.498342637148184,36.02723781595203,36.361968994140625,26584000,0.0,0.0,GOOGL
2016-06-15 00:00:00-04:00,36.44477722591714,36.555363005433556,36.26575682394039,36.30939865112305,23234000,0.0,0.0,GOOGL
2016-06-16 00:00:00-04:00,36.099637586057966,36.22014353461452,35.483729643717986,35.9156608581543,45002000,0.0,0.0,GOOGL
2016-06-17 00:00:00-04:00,35.77383212371017,35.77383212371017,34.76863974427127,34.923858642578125,82262000,0.0,0.0,GOOGL
2016-06-20 00:00:00-04:00,35.22437629415552,35.50009738928132,34.98138563420636,35.01708984375,45654000,0.0,0.0,GOOGL
2016-06-21 00:00:00-04:00,35.211472678512486,35.47579044904077,34.94418491786275,35.1534538269043,30318000,0.0,0.0,GOOGL
2016-06-22 00:00:00-04:00,35.40984099345797,35.41777484125465,35.00468885938305,35.23230743408203,29058000,0.0,0.0,GOOGL
2016-06-23 00:00:00-04:00,35.23627528462499,35.45099993198801,34.72549743121206,35.450504302978516,42500000,0.0,0.0,GOOGL
2016-06-24 00:00:00-04:00,34.22563179241525,34.96105453892768,33.96478712817226,33.97916793823242,95436000,0.0,0.0,GOOGL
2016-06-27 00:00:00-04:00,33.84477596698144,33.88643150426429,33.35730402822835,33.777828216552734,58146000,0.0,0.0,GOOGL
2016-06-28 00:00:00-04:00,34.28513023152692,34.35306922722237,33.961802357542524,34.2796745300293,38246000,0.0,0.0,GOOGL
2016-06-29 00:00:00-04:00,34.42845502682062,34.68830463015796,34.35010023750311,34.474571228027344,43124000,0.0,0.0,GOOGL
2016-06-30 00:00:00-04:00,34.5965642953199,34.900055740043165,34.460190640125795,34.888153076171875,42250000,0.0,0.0,GOOGL
2016-07-01 00:00:00-04:00,34.966012270729294,35.33446517120268,34.89807325758777,35.22140121459961,30984000,0.0,0.0,GOOGL
2016-07-05 00:00:00-04:00,34.9615368098025,35.115760628929976,34.66994812054621,34.95558547973633,28440000,0.0,0.0,GOOGL
2016-07-06 00:00:00-04:00,34.705161889897475,35.35776902803737,34.663506356617944,35.157920837402344,28902000,0.0,0.0,GOOGL
2016-07-07 00:00:00-04:00,35.21445765718378,35.21743143135888,34.7463265805509,35.073123931884766,21174000,0.0,0.0,GOOGL
2016-07-08 00:00:00-04:00,35.236769615941654,35.600761817162095,35.11527241139529,35.594810485839844,29946000,0.0,0.0,GOOGL
2016-07-11 00:00:00-04:00,35.676139452037354,36.147739901193745,35.64886472349586,36.06195068359375,28822000,0.0,0.0,GOOGL
2016-07-12 00:00:00-04:00,36.29601436340188,36.478504194121754,36.07682528820751,36.32527160644531,26468000,0.0,0.0,GOOGL
2016-07-13 00:00:00-04:00,36.474537033417846,36.474537033417846,36.15220039950056,36.175010681152344,20436000,0.0,0.0,GOOGL
2016-07-14 00:00:00-04:00,36.396186247042976,36.505285161253894,36.23005973074089,36.488426208496094,21408000,0.0,0.0,GOOGL
2016-07-15 00:00:00-04:00,36.74629610445913,36.74629610445913,36.43090200031738,36.47999954223633,32342000,0.0,0.0,GOOGL
